,group,name,stripes_acc,hexos_acc,acc,trial,task
28,predinet,trial = 1,0.7337999939918518,0.9326000213623048,0.9670000076293944,1,occurs
29,predinet,trial = 0,0.9520000219345092,0.9666000008583068,0.9879999756813048,0,occurs
30,corelnet,trial = 4,0.4952000081539154,0.9987999796867372,1.0,4,occurs
31,corelnet,trial = 2,0.5012000203132629,0.9923999905586244,1.0,2,occurs
32,corelnet,trial = 3,0.5612000226974487,0.9965999722480774,1.0,3,occurs
33,corelnet,trial = 1,0.5049999952316284,0.9787999987602234,1.0,1,occurs
34,corelnet,trial = 0,0.526199996471405,0.9958000183105468,1.0,0,occurs
35,relconvnet,trial = 4,0.8754000067710876,0.9814000129699708,1.0,4,occurs
36,relconvnet,trial = 2,0.9038000106811525,0.9837999939918518,1.0,2,occurs
37,relconvnet,trial = 3,0.9120000004768372,0.9811999797821044,1.0,3,occurs
38,relconvnet,trial = 1,0.8238000273704529,0.9753999710083008,1.0,1,occurs
39,relconvnet,trial = 0,0.883400022983551,0.9793999791145324,1.0,0,occurs
0,transformer-tcn,trial = 4,0.6661999821662903,0.6898000240325928,0.6970000267028809,4,1task_match_patt
1,transformer-tcn,trial = 3,0.5676000118255615,0.6452000141143799,0.6669999957084656,3,1task_match_patt
2,transformer-tcn,trial = 2,0.6218000054359436,0.6830000281333923,0.7110000252723694,2,1task_match_patt
3,transformer-tcn,trial = 1,0.6154000163078308,0.6722000241279602,0.6740000247955322,1,1task_match_patt
4,transformer-tcn,trial = 0,0.6538000106811523,0.6815999746322632,0.699999988079071,0,1task_match_patt
5,predinet-tcn,trial = 4,0.7955999970436096,0.79339998960495,0.8029999732971191,4,1task_match_patt
6,predinet-tcn,trial = 3,0.7968000173568726,0.7865999937057495,0.8019999861717224,3,1task_match_patt
7,predinet-tcn,trial = 2,0.7979999780654907,0.7838000059127808,0.7829999923706055,2,1task_match_patt
8,predinet-tcn,trial = 1,0.8894000053405762,0.897599995136261,0.912999987602234,1,1task_match_patt
9,predinet-tcn,trial = 0,0.7797999978065491,0.7821999788284302,0.8019999861717224,0,1task_match_patt
10,corelnet-tcn,trial = 4,0.9746000170707704,0.9962000250816344,1.0,4,1task_match_patt
11,corelnet-tcn,trial = 3,0.9983999729156494,0.9994000196456908,1.0,3,1task_match_patt
12,corelnet-tcn,trial = 2,0.995199978351593,0.996999979019165,1.0,2,1task_match_patt
13,corelnet-tcn,trial = 1,0.9901999831199646,0.9954000115394592,1.0,1,1task_match_patt
14,corelnet-tcn,trial = 0,0.9954000115394592,0.9968000054359436,1.0,0,1task_match_patt
15,relconvnet-tcn,trial = 4,0.8658000230789185,0.9908000230789183,1.0,4,1task_match_patt
16,relconvnet-tcn,trial = 3,0.7491999864578247,0.982200026512146,1.0,3,1task_match_patt
17,relconvnet-tcn,trial = 1,0.9706000089645386,0.9926000237464904,1.0,1,1task_match_patt
18,relconvnet-tcn,trial = 2,0.920199990272522,0.9873999953269958,1.0,2,1task_match_patt
19,relconvnet-tcn,trial = 0,0.8009999990463257,0.9832000136375428,1.0,0,1task_match_patt
20,transformer,trial = 4,0.5899999737739563,0.6258000135421753,0.6629999876022339,4,1task_match_patt
21,transformer,trial = 3,0.5899999737739563,0.6215999722480774,0.6240000128746033,3,1task_match_patt
22,transformer,trial = 2,0.6074000000953674,0.6403999924659729,0.6320000290870667,2,1task_match_patt
23,transformer,trial = 1,0.5929999947547913,0.6322000026702881,0.609000027179718,1,1task_match_patt
24,predinet,trial = 3,0.5540000200271606,0.6133999824523926,0.6430000066757202,3,1task_match_patt
25,predinet,trial = 4,0.7662000060081482,0.7832000255584717,0.7929999828338623,4,1task_match_patt
26,predinet,trial = 2,0.7509999871253967,0.7720000147819519,0.7829999923706055,2,1task_match_patt
27,predinet,trial = 1,0.7110000252723694,0.7688000202178955,0.7870000004768372,1,1task_match_patt
28,corelnet,trial = 4,0.5770000219345093,0.9588000178337096,1.0,4,1task_match_patt
29,corelnet,trial = 1,0.6588000059127808,0.959999978542328,1.0,1,1task_match_patt
30,corelnet,trial = 3,0.5753999948501587,0.9431999921798706,1.0,3,1task_match_patt
31,corelnet,trial = 2,0.5982000231742859,0.9462000131607056,1.0,2,1task_match_patt
32,relconvnet,trial = 4,0.9408000111579896,0.971400022506714,1.0,4,1task_match_patt
33,relconvnet,trial = 3,0.8586000204086304,0.9661999940872192,1.0,3,1task_match_patt
34,relconvnet,trial = 2,0.9484000205993652,0.9833999872207642,1.0,2,1task_match_patt
35,relconvnet,trial = 1,0.8795999884605408,0.9832000136375428,1.0,1,1task_match_patt
36,transformer,trial = 0,0.5727999806404114,0.6132000088691711,0.6140000224113464,0,1task_match_patt
37,predinet,trial = 0,0.5098000168800354,0.6136000156402588,0.7089999914169312,0,1task_match_patt
38,corelnet,trial = 0,0.4954000115394592,0.8996000289916992,1.0,0,1task_match_patt
39,relconvnet,trial = 0,0.7228000164031982,0.9003999829292297,0.975000023841858,0,1task_match_patt
0,transformer-tcn,trial = 4,0.8483999967575073,0.9470000267028807,0.9679999947547911,4,1task_between
1,transformer-tcn,trial = 3,0.9628000259399414,0.9896000027656556,0.9980000257492064,3,1task_between
2,transformer-tcn,trial = 2,0.8619999885559082,0.9674000144004822,0.9929999709129332,2,1task_between
3,transformer-tcn,trial = 1,0.9527999758720398,0.9850000143051147,0.9950000047683716,1,1task_between
4,transformer-tcn,trial = 0,0.7459999918937683,0.979200005531311,0.996999979019165,0,1task_between
5,predinet-tcn,trial = 4,0.9958000183105468,0.9973999857902528,0.996999979019165,4,1task_between
6,predinet-tcn,trial = 3,0.977400004863739,0.9886000156402588,0.9940000176429749,3,1task_between
