group,name,epoch/epoch,epoch/loss,acc,_timestamp,epoch/acc,epoch/val_acc,_step,epoch/learning_rate,_wandb,epoch/val_loss,loss,_runtime,trial
cnn,cnn (trial = 3),99,0.6931885480880737,0.5,1721681856.8100848,0.49470898509025574,0.5,100,0.0010000000474974513,{'runtime': 30},0.6931517124176025,0.6931517124176025,30.56030583381653,3
cnn,cnn (trial = 1),99,0.6931068897247314,0.5,1721681857.5706809,0.5,0.5,100,0.0010000000474974513,{'runtime': 31},0.6931507587432861,0.6931507587432861,31.410160779953003,1
cnn,cnn (trial = 4),99,0.6931331753730774,0.5,1721681846.394683,0.5198412537574768,0.5,100,0.0010000000474974513,{'runtime': 31},0.6931480169296265,0.6931480765342712,31.40538191795349,4
relconvnet_dr1,relconvnet_dr1 (trial = 8),99,0.28613412380218506,0.5527263283729553,1721524331.118813,0.8711971044540405,0.5375514626502991,100,0.0010000000474974513,{'runtime': 508},1.596685767173767,1.590328335762024,508.7135870456696,8
relconvnet_dr1,relconvnet_dr1 (trial = 9),99,0.25668632984161377,0.6563786268234253,1721524219.350133,0.8897707462310791,0.6779835224151611,100,0.0010000000474974513,{'runtime': 407},0.9758643507957458,1.0605636835098269,407.7342710494995,9
relconvnet_dr1,relconvnet_dr1 (trial = 5),99,0.2413677275180817,0.6530349850654602,1721524041.9423535,0.8970458507537842,0.6612654328346252,100,0.0010000000474974513,{'runtime': 373},1.065180778503418,1.087349772453308,373.6098186969757,5
relconvnet_dr1,relconvnet_dr1 (trial = 6),99,0.2989092171192169,0.5478395223617554,1721524151.4882631,0.8688271641731262,0.5689300298690796,100,0.0010000000474974513,{'runtime': 483},1.2932770252227783,1.3813923597335815,483.8039901256561,6
relconvnet_dr1,relconvnet_dr1 (trial = 7),99,0.3266381323337555,0.5406378507614136,1721524057.6136355,0.8524029850959778,0.5380658507347107,100,0.0010000000474974513,{'runtime': 389},1.432413935661316,1.4122508764266968,390.26714754104614,7
relconvnet_dr1,relconvnet_dr1 (trial = 4),99,0.24345557391643524,0.5352365970611572,1721523893.4657743,0.8989197611808777,0.5326645970344543,100,0.0010000000474974513,{'runtime': 375},1.788999319076538,1.812118649482727,375.4403972625733,4
relconvnet_dr1,relconvnet_dr1 (trial = 2),99,0.2827296257019043,0.5516975522041321,1721523839.6742449,0.8765432238578796,0.5694444179534912,100,0.0010000000474974513,{'runtime': 326},1.5852805376052856,1.5839428901672363,326.7472229003906,2
relconvnet_asymrel,relconvnet_asymrel (trial = 9),99,0.0005205622874200344,0.529321014881134,1721523839.8437006,1.0,0.5360082387924194,100,0.0010000000474974513,{'runtime': 326},5.191969394683838,5.2368316650390625,327.86630153656006,9
relconvnet_asymrel,relconvnet_asymrel (trial = 6),99,0.0006995415315032005,0.5529835224151611,1721523851.3410382,1.0,0.5162037014961243,100,0.0010000000474974513,{'runtime': 338},5.08923864364624,4.544132232666016,339.394326210022,6
relconvnet_asymrel,relconvnet_asymrel (trial = 8),99,0.0005945893935859203,0.5270061492919922,1721523849.8736744,1.0,0.525977373123169,100,0.0010000000474974513,{'runtime': 336},4.933162689208984,4.790910243988037,337.57743430137634,8
relconvnet_asymrel,relconvnet_asymrel (trial = 7),99,0.00045000328100286424,0.5262345671653748,1721523847.6496613,1.0,0.547325074672699,100,0.0010000000474974513,{'runtime': 334},5.251458168029785,5.247702121734619,335.6821553707123,7
relconvnet_dr1,relconvnet_dr1 (trial = 3),99,0.283551961183548,0.5743312835693359,1721523837.354934,0.8748897910118103,0.5743312835693359,100,0.0010000000474974513,{'runtime': 324},1.3609310388565063,1.349932312965393,325.5946669578552,3
relconvnet_dr1,relconvnet_dr1 (trial = 1),99,2.7976844648947008e-05,0.984825074672699,1721523840.9968235,1.0,0.9801954627037048,100,0.0010000000474974513,{'runtime': 327},0.07327086478471756,0.05665868893265724,329.3414144515991,1
relconvnet_dr1,relconvnet_dr1 (trial = 0),99,0.34024518728256226,0.5388374328613281,1721523837.8909247,0.8488205671310425,0.5583847761154175,100,0.0010000000474974513,{'runtime': 324},1.2240442037582395,1.3119195699691772,326.2562596797943,0
relconvnet_asymrel,relconvnet_asymrel (trial = 5),99,0.0006773280329070985,0.5421810746192932,1721523891.6220186,1.0,0.5583847761154175,100,0.0010000000474974513,{'runtime': 498},4.7639007568359375,4.9084978103637695,500.0910515785218,5
relconvnet_asymrel,relconvnet_asymrel (trial = 4),99,0.0006554906140081584,0.5388374328613281,1721523642.9733677,1.0,0.5504115223884583,100,0.0010000000474974513,{'runtime': 423},4.957757472991943,5.37017297744751,423.8722474575043,4
relconvnet_asymrel,relconvnet_asymrel (trial = 3),99,0.0004508278798311949,0.5491254925727844,1721523623.876815,1.0,0.5306069850921631,100,0.0010000000474974513,{'runtime': 530},5.155792713165283,5.0811567306518555,531.3289670944214,3
relconvnet_asymrel,relconvnet_asymrel (trial = 2),99,0.0006816807435825467,0.525977373123169,1721523557.2389026,1.0,0.5090020298957825,100,0.0010000000474974513,{'runtime': 491},4.654087543487549,4.624449729919434,492.0179536342621,2
relconvnet_asymrel,relconvnet_asymrel (trial = 1),99,0.0007464667432941496,0.5313786268234253,1721523480.417303,1.0,0.5493826866149902,100,0.0010000000474974513,{'runtime': 414},4.556149005889893,4.732334613800049,415.27312207221985,1
relconvnet_asymrel,relconvnet_asymrel (trial = 0),99,0.0008311538258567452,0.5005143880844116,1721523404.7904558,1.0,0.5272634029388428,100,0.0010000000474974513,{'runtime': 340},5.082286357879639,5.062519073486328,341.2358908653259,0
relnet,relnet (trial = 9),99,0.3213523328304291,0.5573559403419495,1717722229.2598825,0.8587962985038757,0.5694444179534912,100,0.0010000000474974513,{'runtime': 17},1.168247938156128,1.2350432872772217,17.30684733390808,9
relnet,relnet (trial = 8),99,0.29878944158554077,0.529321014881134,1717722223.308054,0.8721891641616821,0.5380658507347107,100,0.0010000000474974513,{'runtime': 17},1.287217617034912,1.3432128429412842,19.60406994819641,8
relnet,relnet (trial = 6),99,0.3382679522037506,0.5661008358001709,1717722211.660043,0.8500881791114807,0.5429526567459106,100,0.0010000000474974513,{'runtime': 17},1.2135173082351685,1.1022095680236816,17.93413805961609,6
relnet,relnet (trial = 7),99,0.28284844756126404,0.5594135522842407,1717722206.5877495,0.8764880895614624,0.5563271641731262,100,0.0010000000474974513,{'runtime': 17},1.2676559686660769,1.2482274770736694,17.289007663726807,7
relnet,relnet (trial = 5),99,0.28450971841812134,0.5385802388191223,1717722176.6724436,0.8796296119689941,0.5380658507347107,100,0.0010000000474974513,{'runtime': 17},1.4598983526229858,1.324696063995361,17.326557636260986,5
relnet,relnet (trial = 4),99,0.31079113483428955,0.5316358208656311,1717722154.521572,0.8639219403266907,0.5375514626502991,100,0.0010000000474974513,{'runtime': 16},1.248843789100647,1.330527901649475,17.20811414718628,4
relnet,relnet (trial = 3),99,0.3291478455066681,0.5362654328346252,1717722154.1773765,0.8568121790885925,0.5195473432540894,100,0.0010000000474974513,{'runtime': 17},1.2738419771194458,1.2225271463394165,17.585042238235474,3
relnet,relnet (trial = 1),99,0.3048476278781891,0.5360082387924194,1717722124.434688,0.8680555820465088,0.5218621492385864,100,0.0010000000474974513,{'runtime': 22},1.2960387468338013,1.2495328187942505,22.749168872833252,1
relnet,relnet (trial = 2),99,0.3363187909126282,0.5442386865615845,1717722096.8201025,0.8506393432617188,0.528292179107666,100,0.0010000000474974513,{'runtime': 17},1.1980674266815186,1.1560112237930298,17.7730233669281,2
relnet,relnet (trial = 0),99,0.34847337007522583,0.515174925327301,1717722037.9675963,0.8442460298538208,0.5460391044616699,100,0.0010000000474974513,{'runtime': 17},1.1158757209777832,1.1577792167663574,18.210583209991455,0
gin,gin (trial = 9),99,0.08434358984231949,0.6039094924926758,1705880888.160838,0.9690255522727966,0.6000514626502991,100,0.0010000000474974513,{'runtime': 51},2.3373405933380127,2.3169078826904297,51.756667137146,9
gin,gin (trial = 8),99,0.02889862284064293,0.596707820892334,1705880871.4255338,0.9933862686157228,0.5810185074806213,100,0.0010000000474974513,{'runtime': 41},2.785083293914795,2.715177059173584,41.94936180114746,8
gin,gin (trial = 7),99,0.07470005750656128,0.5879629850387573,1705880738.1994317,0.9745370149612428,0.6036522388458252,100,0.0010000000474974513,{'runtime': 51},2.3020174503326416,2.4465065002441406,52.27842855453491,7
gin,gin (trial = 6),99,0.017189035192131996,0.5864197611808777,1705880720.8051317,0.9961419701576232,0.6072530746459961,100,0.0010000000474974513,{'runtime': 41},3.0013296604156494,3.2096967697143555,41.82005858421326,6
gin,gin (trial = 5),99,0.03604576736688614,0.5910493731498718,1705880587.5317438,0.991457223892212,0.5769032835960388,100,0.0010000000474974513,{'runtime': 52},2.5744800567626953,2.3979995250701904,52.46415281295776,5
gin,gin (trial = 4),99,0.0036375897470861673,0.5727880597114563,1705880570.5012102,1.0,0.6090534925460815,100,0.0010000000474974513,{'runtime': 41},2.918370008468628,3.354173183441162,42.19313621520996,4
