,conv [PC1],conv [PC2],SET
243,4.5654345,-7.750577,not set
244,29.09125,16.550602,not set
245,37.175858,5.6617956,not set
246,13.835727,9.215211,not set
247,30.523088,-4.2805376,not set
248,44.971752,-0.65043354,not set
249,23.029636,-5.6487217,not set
250,38.651028,1.9736025,not set
251,21.728544,-14.612383,not set
252,17.871046,16.312286,not set
253,24.744389,3.1005416,not set
254,39.73473,1.0701683,not set
255,22.355827,0.544469,not set
256,23.503149,-5.94548,not set
257,-2.8119466,19.108273,not set
258,-0.65789723,12.545851,not set
259,22.20133,-0.74394166,not set
260,14.383198,38.546997,not set
261,-4.7040405,-2.782403,not set
262,59.581783,-9.299646,not set
263,31.344818,-17.909689,not set
264,17.86383,-14.816851,not set
265,44.24634,-6.0806904,not set
266,34.77328,-3.3656564,not set
267,21.327415,-11.570753,not set
268,9.470121,-15.037855,not set
269,28.795197,1.1066778,not set
270,63.079575,1.4842646,not set
271,25.112558,1.7400188,not set
272,-3.8572078,-9.385083,not set
273,33.6514,13.295978,not set
274,32.754524,4.0005746,not set
275,23.934797,2.9087107,not set
276,40.014202,-7.268221,not set
277,42.559246,0.41511354,not set
278,30.210892,-9.591804,not set
279,26.031328,13.765324,not set
280,13.973489,-17.746279,not set
281,28.813412,-6.292431,not set
282,26.279196,-3.0544934,not set
283,47.066505,3.50951,not set
284,56.42624,-2.229719,not set
285,35.66778,-10.6748085,not set
286,16.784792,-5.5852966,not set
287,23.818026,6.0220838,not set
288,-2.3739974,-10.899132,not set
289,58.177773,2.7523432,not set
290,25.151632,17.626188,not set
291,53.123272,-14.277505,not set
292,50.056656,7.9177074,not set
293,10.70602,9.211211,not set
294,15.66624,-0.9045718,not set
295,31.61351,-1.2021146,not set
296,8.8148,11.978329,not set
297,24.97561,5.846304,not set
298,61.623493,-8.621411,not set
299,6.80326,13.035742,not set
300,16.358934,-7.0352015,not set
301,35.30905,10.312577,not set
302,8.991715,20.076433,not set
303,40.286777,-5.9399605,not set
304,-3.1900616,5.4064546,not set
305,19.39147,6.0831985,not set
306,37.005356,1.4305229,not set
307,41.29989,6.226811,not set
308,18.10045,0.1390491,not set
309,66.08593,-9.395779,not set
310,62.009148,-3.7127798,not set
311,4.074329,1.5714686,not set
312,16.222755,-2.356801,not set
313,1.4588336,4.679259,not set
314,43.883026,0.25671428,not set
315,-7.733454,4.116618,not set
316,30.246511,-7.2530055,not set
317,2.869595,-12.585209,not set
318,47.01473,3.6640186,not set
319,70.4312,2.8828712,not set
320,11.249136,-8.783954,not set
321,19.169247,19.158812,not set
322,23.010778,1.2314856,not set
323,17.209923,-3.4129984,not set
324,-3.4611912,-1.3462055,not set
325,-8.909422,13.366759,not set
326,33.95585,-12.018726,not set
327,8.44821,-8.155021,not set
328,11.080673,11.156249,not set
329,22.816004,-1.8137031,not set
330,31.587978,2.15236,not set
331,6.082832,4.0357647,not set
332,-1.6819073,7.269814,not set
333,10.206301,6.8108587,not set
334,10.119306,-8.887204,not set
335,37.21437,26.170969,not set
336,-0.4170639,2.4729264,not set
337,44.348907,0.9441747,not set
338,2.588829,0.4318789,not set
339,10.012113,11.615596,not set
340,17.862413,-7.3809505,not set
341,35.656494,-6.571275,not set
342,41.711193,-2.5037227,not set
343,40.07813,-3.3650656,not set
344,13.252492,-8.578492,not set
345,29.040092,-3.3591857,not set
346,42.540264,-12.77834,not set
347,24.909592,4.9530096,not set
348,13.4043045,-0.018048381,not set
349,44.95366,6.4001007,not set
350,41.269,-1.9196469,not set
351,40.954338,-4.399948,not set
352,23.297493,18.716095,not set
353,7.98304,-7.332924,not set
354,12.739455,10.503069,not set
355,22.97068,8.801,not set
356,17.309591,-5.1367197,not set
357,15.927972,1.8483458,not set
358,23.852478,-15.179387,not set
359,53.326427,4.071181,not set
360,38.493645,-5.1221724,not set
361,1.7748282,13.4043665,not set
362,14.556434,6.2973576,not set
363,6.2728977,-9.962618,not set
364,11.958995,-3.5623488,not set
365,6.883325,-0.95281655,not set
366,28.612062,7.372186,not set
367,25.741789,5.370993,not set
368,64.03247,-1.6700879,not set
369,43.927063,-5.0030556,not set
370,49.57336,-12.482037,not set
371,14.307613,16.656826,not set
372,22.72816,11.372762,not set
373,4.963431,-5.975817,not set
374,55.8037,-4.666611,not set
375,21.9751,-5.9517956,not set
376,30.693975,-0.98856497,not set
377,-2.073761,6.2991753,not set
378,5.8641405,14.017391,not set
379,28.273396,-6.207124,not set
380,20.95745,-3.3341246,not set
381,1.5917107,7.405375,not set
382,26.31771,3.7082357,not set
383,4.5826283,20.516485,not set
384,20.152033,-4.922923,not set
385,25.389322,-7.021612,not set
386,34.395447,-1.9994385,not set
387,49.553368,1.1519405,not set
388,11.801885,-12.020175,not set
389,10.506804,1.6849715,not set
390,17.295176,-4.3481836,not set
391,26.235,-14.860091,not set
392,34.45008,-15.091991,not set
393,3.5107467,-18.434433,not set
394,-0.42955214,-4.296111,not set
395,22.6284,21.90944,not set
396,14.453054,-12.107334,not set
397,-14.46861,16.403423,not set
398,21.781229,-9.936878,not set
399,16.994642,1.4974704,not set
400,64.30272,6.4017015,not set
401,32.681225,-7.0050445,not set
402,14.01043,20.324121,not set
403,15.227974,14.931044,not set
404,2.86024,-14.239388,not set
405,34.410904,-1.5258452,not set
406,0.8470809,0.7308378,not set
407,-3.9895694,2.3797975,not set
408,3.0448792,2.6451576,not set
409,18.740807,-10.33803,not set
410,19.185535,4.5642834,not set
411,17.705278,-5.617372,not set
412,-8.612613,13.369561,not set
413,4.0204635,-4.799755,not set
414,19.880728,4.9396467,not set
415,28.09863,-1.6489147,not set
416,35.947403,-9.541491,not set
417,34.38377,-2.0557868,not set
418,30.400135,-9.989667,not set
419,56.371063,-4.0070987,not set
420,3.6159363,15.893496,not set
421,31.6624,4.242557,not set
422,56.496677,-3.0346258,not set
423,21.93024,5.814794,not set
424,3.397004,1.8936597,not set
425,18.322462,-13.289973,not set
426,28.460352,-3.0668044,not set
427,35.5252,-5.6988535,not set
428,17.045897,24.993475,not set
429,25.088633,6.2821355,not set
430,-4.566302,9.536665,not set
431,38.994064,14.931939,not set
432,2.2524562,-2.9305768,not set
433,20.309055,24.32863,not set
434,3.7276666,-0.67083406,not set
435,38.697136,1.3947498,not set
436,17.486021,-11.257976,not set
437,66.106255,2.743655,not set
438,39.670086,-14.507866,not set
439,12.932896,16.612818,not set
440,19.699497,-8.515849,not set
441,57.637684,12.574171,not set
442,21.537893,17.024958,not set
443,18.458553,-12.416158,not set
444,28.505041,3.504354,not set
445,27.226202,-6.2236395,not set
446,2.3785696,0.4222719,not set
447,9.372619,-9.370991,not set
448,41.062546,1.3933657,not set
449,46.67764,1.0989242,not set
450,15.120293,-3.6648462,not set
451,10.558908,15.04239,not set
452,36.98299,1.6875976,not set
453,3.5829155,17.125856,not set
454,27.731964,-6.649034,not set
455,17.344093,19.873543,not set
456,12.054457,14.046522,not set
457,26.515171,-7.9647255,not set
458,-6.9990554,8.734534,not set
459,16.107454,-8.750918,not set
460,22.601437,-2.3647656,not set
461,0.5585871,-6.7209644,not set
462,39.340584,1.8953493,not set
463,6.411757,-13.789245,not set
464,37.937916,12.820677,not set
465,27.633602,9.38895,not set
466,26.811436,-7.267934,not set
467,5.605211,-8.032276,not set
468,20.122658,-4.9621673,not set
469,9.648536,25.265615,not set
470,30.760078,23.76087,not set
471,33.393375,-8.258491,not set
472,23.959507,-10.195345,not set
473,16.168455,0.66482985,not set
474,14.735806,5.687706,not set
475,29.712471,-5.4958,not set
476,37.325626,1.0837244,not set
477,31.860252,-13.214581,not set
478,51.074913,-6.6578493,not set
479,25.975145,-6.5483975,not set
480,20.954157,7.679917,not set
481,12.958567,8.757812,not set
482,25.794773,4.8314424,not set
483,30.28069,-7.4475703,not set
484,31.24448,-9.438811,not set
485,3.1700473,4.920396,not set
486,42.416576,-15.155413,not set
487,23.671186,-3.6468632,not set
488,-2.1381238,0.92002636,not set
