,group,name,stripes_acc,hexos_acc,acc,trial,task
42,tempgroup_relconvnet,trial = 2,0.9742000102996826,0.9789999723434448,1.0,2,same
43,tempgroup_relconvnet,trial = 1,0.97979998588562,0.9873999953269958,1.0,1,same
44,tempgroup_relconvnet,trial = 0,0.9390000104904176,0.9818000197410583,1.0,0,same
45,featuregroup_relconvnet,trial = 4,0.9562000036239624,0.9805999994277954,1.0,4,same
46,featuregroup_relconvnet,trial = 2,0.9882000088691713,0.9861999750137328,1.0,2,same
47,featuregroup_relconvnet,trial = 3,0.9873999953269958,0.9872000217437744,1.0,3,same
48,featuregroup_relconvnet,trial = 0,0.973800003528595,0.9847999811172484,1.0,0,same
49,featuregroup_relconvnet,trial = 1,0.9847999811172484,0.9843999743461608,1.0,1,same
50,transformer,trial = 4,0.975000023841858,0.99099999666214,1.0,4,same
51,transformer,trial = 1,0.9977999925613404,0.9995999932289124,1.0,1,same
52,transformer,trial = 3,0.9973999857902528,0.996999979019165,1.0,3,same
53,transformer,trial = 2,0.9962000250816344,0.9980000257492064,1.0,2,same
54,transformer,trial = 0,0.996999979019165,0.9977999925613404,1.0,0,same
55,predinet,trial = 4,0.972599983215332,0.9787999987602234,0.9940000176429749,4,same
56,predinet,trial = 3,1.0,1.0,1.0,3,same
57,predinet,trial = 2,0.9987999796867372,0.9995999932289124,1.0,2,same
58,predinet,trial = 1,0.9628000259399414,0.9865999817848206,0.9959999918937684,1,same
59,predinet,trial = 0,0.9832000136375428,0.9860000014305116,0.9980000257492064,0,same
60,corelnet,trial = 4,0.4952000081539154,0.9696000218391418,1.0,4,same
61,corelnet,trial = 2,0.9998000264167786,1.0,1.0,2,same
62,corelnet,trial = 3,0.6462000012397766,0.9882000088691713,1.0,3,same
63,corelnet,trial = 0,0.982200026512146,1.0,1.0,0,same
64,corelnet,trial = 1,0.496399998664856,0.9819999933242798,1.0,1,same
65,relconvnet,trial = 4,0.9675999879837036,0.9829999804496764,1.0,4,same
66,relconvnet,trial = 3,0.9729999899864196,0.9923999905586244,1.0,3,same
67,relconvnet,trial = 0,0.9675999879837036,0.99099999666214,1.0,0,same
68,relconvnet,trial = 2,0.9824000000953674,0.9851999878883362,1.0,2,same
69,relconvnet,trial = 1,0.9796000123023988,0.9923999905586244,1.0,1,same
0,cnn,trial = 4,0.5062000155448914,0.5008000135421753,0.4984000027179718,4,xoccurs
